Date,Temp
1963-03-31,25.125
1963-04-30,23.533
1963-05-31,22.967
1963-06-30,22.862
1963-07-31,22.660999999999998
1963-08-31,23.366
1963-09-30,22.903
1963-10-31,23.889
1963-11-30,23.99
1963-12-31,24.936
1964-01-31,26.208000000000002
1964-02-29,26.087
1964-03-31,25.195999999999998
1964-04-30,23.601999999999997
1964-05-31,22.839
1964-06-30,21.113000000000003
1964-07-31,22.529
1964-08-31,22.243000000000002
1964-09-30,21.38
1964-10-31,21.886
1964-11-30,23.576999999999998
1964-12-31,24.616
1965-01-31,26.38000000000001
1965-02-28,25.554
1965-03-31,25.333
1965-04-30,24.298
1965-05-31,24.447
1965-06-30,22.951999999999998
1965-07-31,23.195999999999998
1965-08-31,23.189
1965-09-30,22.353
1965-10-31,23.486
1965-11-30,25.833
1965-12-31,26.47
1966-01-31,28.00500000000001
1966-02-28,26.871
1966-03-31,24.936
1966-04-30,24.302
1966-05-31,24.31
1966-06-30,23.721
1966-07-31,21.911
1966-08-31,21.437
1966-09-30,22.409
1966-10-31,22.876
1966-11-30,25.06
1966-12-31,25.731
1967-01-31,26.998
1967-02-28,26.325
1967-03-31,25.118
1967-04-30,24.601999999999997
1967-05-31,24.009
1967-06-30,22.762
1967-07-31,23.552
1967-08-31,22.364
1967-09-30,23.438
1967-10-31,22.646
1967-11-30,22.904
1967-12-31,25.697
1968-01-31,25.32800000000001
1968-02-29,26.089
1968-03-31,23.401
1968-04-30,22.14
1968-05-31,22.388
1968-06-30,22.173
1968-07-31,21.247
1968-08-31,21.045
1968-09-30,21.605
1968-10-31,23.574
1968-11-30,24.854
1968-12-31,26.48
1969-01-31,27.429000000000002
1969-02-28,26.365
1969-03-31,24.759
1969-04-30,24.676
1969-05-31,23.946
1969-06-30,22.91
1969-07-31,22.422
1969-08-31,22.673000000000002
1969-09-30,21.199
1969-10-31,23.58
1969-11-30,23.302
1969-12-31,25.609
1970-01-31,26.879
1970-02-28,26.656
1970-03-31,25.041999999999998
1970-04-30,25.035999999999998
1970-05-31,24.629
1970-06-30,22.629
1970-07-31,21.879
1970-08-31,21.446
1970-09-30,21.52
1970-10-31,21.834
1970-11-30,25.543000000000006
1970-12-31,26.984
1971-01-31,27.552000000000003
1971-02-28,26.963
1971-03-31,25.127
1971-04-30,24.066
1971-05-31,23.028
1971-06-30,23.034
1971-07-31,22.36
1971-08-31,21.579
1971-09-30,21.199
1971-10-31,21.905
1971-11-30,24.221
1971-12-31,25.938
1972-01-31,26.29000000000001
1972-02-29,26.834
1972-03-31,24.451999999999998
1972-04-30,24.709
1972-05-31,25.285
1972-06-30,23.250999999999998
1972-07-31,23.156
1972-08-31,22.236
1972-09-30,22.34
1972-10-31,23.535
1972-11-30,24.904
1972-12-31,27.106
1973-01-31,27.972
1973-02-28,26.048
1973-03-31,26.901999999999997
1973-04-30,24.283
1973-05-31,24.893
1973-06-30,24.085
1973-07-31,21.986
1973-08-31,21.399
1973-09-30,21.267
1973-10-31,21.781
1973-11-30,24.779
1973-12-31,25.816
1974-01-31,26.74
1974-02-28,26.635
1974-03-31,24.676
1974-04-30,24.413
1974-05-31,22.808000000000003
1974-06-30,22.984
1974-07-31,22.557
1974-08-31,22.315
1974-09-30,21.583
1974-10-31,23.224
1974-11-30,23.331
1974-12-31,24.657
1975-01-31,26.531
1975-02-28,26.587
1975-03-31,23.599
1975-04-30,22.976
1975-05-31,22.58
1975-06-30,21.134
1975-07-31,23.531
1975-08-31,22.041
1975-09-30,21.456
1975-10-31,22.833
1975-11-30,24.893
1975-12-31,26.495
1976-01-31,26.045
1976-02-29,25.971
1976-03-31,25.458
1976-04-30,23.691
1976-05-31,23.247
1976-06-30,22.025
1976-07-31,22.230999999999998
1976-08-31,21.214000000000002
1976-09-30,21.229
1976-10-31,23.143
1976-11-30,24.439
1976-12-31,26.09
1977-01-31,27.824
1977-02-28,27.215999999999998
1977-03-31,25.284
1977-04-30,24.276
1977-05-31,24.297
1977-06-30,25.131999999999998
1977-07-31,23.42
1977-08-31,22.573
1977-09-30,22.725
1977-10-31,23.232
1977-11-30,23.595
1977-12-31,26.19
1978-01-31,26.294
1978-02-28,26.357
1978-03-31,24.138
1978-04-30,23.573
1978-05-31,22.546
1978-06-30,23.851
1978-07-31,22.359
1978-08-31,22.31600000000001
1978-09-30,22.51
1978-10-31,23.592
1978-11-30,24.344
1978-12-31,23.481
1979-01-31,25.592
1979-02-28,25.236
1979-03-31,24.236
1979-04-30,24.619
1979-05-31,22.514
1979-06-30,22.149
1979-07-31,23.326
1979-08-31,21.619
1979-09-30,22.956
1979-10-31,22.859
1979-11-30,24.749
1979-12-31,24.912
1980-01-31,26.82500000000001
1980-02-29,27.709
1980-03-31,25.488000000000003
1980-04-30,25.179
1980-05-31,23.466
1980-06-30,23.592
1980-07-31,23.19
1980-08-31,21.308000000000003
1980-09-30,22.323
1980-10-31,22.788
1980-11-30,25.402
1980-12-31,26.225
1981-01-31,27.04600000000001
1981-02-28,26.361
1981-03-31,24.573
1981-04-30,24.438
1981-05-31,23.114
1981-06-30,21.906
