,Date,Temp
1391,1947-12-01,23.398000000000003
1392,1948-01-01,26.992
1393,1948-02-01,26.826
1394,1948-03-01,25.54
1395,1948-04-01,24.904
1396,1948-05-01,24.015
1397,1948-06-01,23.52
1398,1948-07-01,23.994
1399,1948-08-01,21.724
1400,1948-09-01,21.932
1401,1948-10-01,21.629
1402,1948-11-01,23.055
1403,1948-12-01,24.079
1404,1949-01-01,25.609
1405,1949-02-01,25.748
1406,1949-03-01,27.52
1407,1949-04-01,24.565
1408,1949-05-01,23.305999999999997
1409,1949-06-01,24.133000000000006
1410,1949-07-01,22.186999999999998
1411,1949-08-01,21.908
1412,1949-09-01,21.163
1413,1949-10-01,20.8
1414,1949-11-01,22.032
1415,1949-12-01,23.799
1416,1950-01-01,25.467
1417,1950-02-01,26.409000000000002
1418,1950-03-01,26.309
1419,1950-04-01,25.245
1420,1950-05-01,24.778
1421,1950-06-01,23.792
1422,1950-07-01,22.653
1423,1950-08-01,23.203000000000007
1424,1950-09-01,22.364
1425,1950-10-01,21.776
1426,1950-11-01,22.203000000000007
1427,1950-12-01,24.194000000000006
1428,1951-01-01,25.556
1429,1951-02-01,26.180000000000003
1430,1951-03-01,25.805
1431,1951-04-01,23.389
1432,1951-05-01,23.774
1433,1951-06-01,22.732
1434,1951-07-01,21.523000000000003
1435,1951-08-01,20.843000000000004
1436,1951-09-01,21.565
1437,1951-10-01,21.912
1438,1951-11-01,22.943
1439,1951-12-01,22.826999999999998
1440,1952-01-01,25.673000000000002
1441,1952-02-01,25.989
1442,1952-03-01,26.337
1443,1952-04-01,24.121
1444,1952-05-01,23.843000000000004
1445,1952-06-01,23.579
1446,1952-07-01,22.763
1447,1952-08-01,23.021
1448,1952-09-01,21.623
1449,1952-10-01,22.945
1450,1952-11-01,23.115
1451,1952-12-01,24.604
1452,1953-01-01,26.665
1453,1953-02-01,26.117
1454,1953-03-01,26.945
1455,1953-04-01,25.096
1456,1953-05-01,24.182
1457,1953-06-01,23.484
1458,1953-07-01,21.624
1459,1953-08-01,22.164
1460,1953-09-01,22.674
1461,1953-10-01,22.528
1462,1953-11-01,22.73
1463,1953-12-01,23.912
1464,1954-01-01,26.814
1465,1954-02-01,27.211
1466,1954-03-01,26.791999999999998
1467,1954-04-01,24.539
1468,1954-05-01,24.014
1469,1954-06-01,24.228
1470,1954-07-01,23.239
1471,1954-08-01,22.459
1472,1954-09-01,22.591
1473,1954-10-01,21.677
1474,1954-11-01,22.948
1475,1954-12-01,24.164
1476,1955-01-01,25.473000000000006
1477,1955-02-01,26.797
1478,1955-03-01,26.336
1479,1955-04-01,24.53
1480,1955-05-01,23.692
1481,1955-06-01,23.285
1482,1955-07-01,22.925
1483,1955-08-01,21.958
1484,1955-09-01,21.905
1485,1955-10-01,20.603
1486,1955-11-01,21.706
1487,1955-12-01,24.201999999999998
1488,1956-01-01,27.443
1489,1956-02-01,26.44
1490,1956-03-01,26.024
1491,1956-04-01,24.75
1492,1956-05-01,22.865
1493,1956-06-01,22.169
1494,1956-07-01,22.287
1495,1956-08-01,20.897
1496,1956-09-01,22.393
1497,1956-10-01,21.480999999999998
1498,1956-11-01,21.695999999999998
1499,1956-12-01,23.25
1500,1957-01-01,26.195
1501,1957-02-01,26.278000000000002
1502,1957-03-01,26.180999999999997
1503,1957-04-01,24.844
1504,1957-05-01,23.615
1505,1957-06-01,23.222
1506,1957-07-01,22.429
1507,1957-08-01,22.434
1508,1957-09-01,21.449
1509,1957-10-01,23.386
1510,1957-11-01,22.639
1511,1957-12-01,25.003
1512,1958-01-01,26.546
1513,1958-02-01,27.736
1514,1958-03-01,26.41
1515,1958-04-01,24.801
1516,1958-05-01,24.238000000000003
1517,1958-06-01,23.469
1518,1958-07-01,23.483
1519,1958-08-01,23.669
1520,1958-09-01,22.102
1521,1958-10-01,22.751
1522,1958-11-01,24.502
1523,1958-12-01,25.692
1524,1959-01-01,26.393
1525,1959-02-01,27.65
1526,1959-03-01,26.0
1527,1959-04-01,27.225
1528,1959-05-01,24.936
1529,1959-06-01,23.219
1530,1959-07-01,24.021
1531,1959-08-01,22.615
1532,1959-09-01,22.839000000000002
1533,1959-10-01,22.831
1534,1959-11-01,23.0
1535,1959-12-01,24.648000000000003
1536,1960-01-01,25.55
1537,1960-02-01,25.859
1538,1960-03-01,25.496
1539,1960-04-01,24.409
1540,1960-05-01,22.956
1541,1960-06-01,22.871
1542,1960-07-01,22.651
1543,1960-08-01,22.701999999999998
1544,1960-09-01,22.034000000000002
1545,1960-10-01,24.032
1546,1960-11-01,23.070999999999998
1547,1960-12-01,23.978
1548,1961-01-01,25.923000000000002
1549,1961-02-01,26.616000000000003
1550,1961-03-01,26.392
1551,1961-04-01,25.730999999999998
1552,1961-05-01,24.230999999999998
1553,1961-06-01,24.013
1554,1961-07-01,23.237
1555,1961-08-01,23.312
1556,1961-09-01,24.108
1557,1961-10-01,23.69
1558,1961-11-01,23.998
1559,1961-12-01,24.381
1560,1962-01-01,25.241
1561,1962-02-01,26.096
1562,1962-03-01,26.427
1563,1962-04-01,24.695999999999998
